<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:d2b269574476263476913283168e483fec8287572bafc3633a3722280b1d0d13
size 2120580
=======
	chr	start	stop	arm_location
FO538757.1	chr1	200880	201017	p
KTI12	chr1	52032103	52033816	p
RN7SKP276	chr1	229410500	229410767	q
FCRL5	chr1	157513377	157552520	q
RP11-161I10.1	chr1	190480379	190494297	q
FAM19A3	chr1	112720419	112727235	p
AL356458.1	chr1	47502504	47502639	p
LINC01160	chr1	111599655	111608723	p
AL592063.1	chr1	213609696	213609840	q
RP11-4M23.3	chr1	23907111	23907885	p
RP11-267N12.1	chr1	163161675	163213023	q
PRPF38B	chr1	108692323	108701803	p
TRABD2B	chr1	47760528	47996895	p
CNOT7P2	chr1	115564601	115565432	p
SYDE2	chr1	85156873	85201046	p
RP1-10C16.1	chr1	168763365	168774490	q
RP11-329N22.2	chr1	38383838	38384422	p
UBE2Q1-AS1	chr1	154553609	154555017	q
RP11-31F15.2	chr1	113011687	113073105	p
LEMD1-AS1	chr1	205373252	205387440	q
RP11-98D18.17	chr1	151798054	151798602	q
C1orf132	chr1	207801518	207869150	q
RNU1-120P	chr1	148263476	148263632	q
MTND5P20	chr1	113576757	113576899	p
RP4-738P11.4	chr1	168578653	168579439	q
TAF1A-AS1	chr1	222589825	222593032	q
CBX1P3	chr1	203954640	203955780	q
RP3-436N22.3	chr1	173555251	173612772	q
AL357140.1	chr1	9827610	9828258	p
OR10J9P	chr1	159405423	159406409	q
RP5-1024G6.5	chr1	53238610	53242783	p
RP11-21J7.1	chr1	193678894	193727035	q
RP11-656D10.7	chr1	40473055	40474059	p
RP11-576I22.2	chr1	170460453	170532647	q
TNNT2	chr1	201359008	201377762	q
ZNF593	chr1	26169871	26172060	p
RP11-75C23.1	chr1	197437976	197447469	q
RP1-140J1.1	chr1	153174518	153191676	q
BSDC1	chr1	32365103	32394731	p
IER5	chr1	181088712	181092899	q
RN7SL326P	chr1	40804846	40805141	p
RP5-858B6.1	chr1	230823641	230824707	q
RNU6-1297P	chr1	155419397	155419500	q
RP11-184J23.2	chr1	47074778	47075979	p
RP11-473A10.2	chr1	17717687	17749978	p
RP4-651E10.4	chr1	86571181	86693203	p
SLC25A3P1	chr1	53413149	53440020	p
GPR157	chr1	9100305	9129170	p
FAM132A	chr1	1242446	1246722	p
HAO2	chr1	119368779	119394130	p
RP4-799G3.1	chr1	228776312	228776865	q
PTCH2	chr1	44819844	44843063	p
RP11-439L8.2	chr1	31487589	31488930	p
PTPN7	chr1	202147013	202161588	q
NSL1	chr1	212726153	212791782	q
RNU6-152P	chr1	182327068	182327174	q
RPS23P9	chr1	161617992	161619585	q
RP11-403P14.1	chr1	164921318	164921629	q
SPRR1A	chr1	152985231	152985500	q
HNRNPA1P46	chr1	191146025	191146961	q
RP11-510N19.3	chr1	202039851	202039934	q
MTATP6P1	chr1	633696	634376	p
RP11-415K20.1	chr1	22322840	22323331	p
NTRK1	chr1	156815640	156881850	q
LINC01397	chr1	110082688	110109719	p
RP11-386I23.1	chr1	92930696	92934098	p
RP11-541F9.2	chr1	191875495	192011260	q
CCDC185	chr1	223393417	223395470	q
AGMAT	chr1	15572353	15585110	p
RP11-527D7.1	chr1	241424292	241433492	q
RP4-790G17.7	chr1	150255095	150257286	q
SDF4	chr1	1216908	1232031	p
RPL5P6	chr1	91023919	91024804	p
RP4-609E1.2	chr1	68043330	68044233	p
WNT9A	chr1	227918656	227947898	q
RP11-2L13.1	chr1	199752491	199752890	q
LINC01527	chr1	152930040	152949210	q
MUTYH	chr1	45329163	45340470	p
OSBPL9	chr1	51577179	51798427	p
RP11-438F14.3	chr1	248548756	248563839	q
RP11-168F9.2	chr1	3487246	3487627	p
RP4-712E4.2	chr1	119000618	119001405	p
CYP4Z2P	chr1	46843095	46900437	p
RP4-784A16.4	chr1	53304536	53307462	p
PTPRVP	chr1	202168051	202189455	q
SLC9C2	chr1	173500464	173603094	q
AL122003.1	chr1	232898914	232898999	q
SNORA80E	chr1	155919909	155920045	q
RP11-184I16.4	chr1	43709392	43727343	p
ATAD3A	chr1	1512151	1534687	p
FOXO6	chr1	41361922	41383590	p
RP11-430C7.5	chr1	204626775	204629712	q
RP4-784A16.3	chr1	53291791	53292138	p
MIR3119-2	chr1	170151378	170151462	q
FCF1P7	chr1	243267257	243268119	q
RP11-504P24.9	chr1	223994262	223995196	q
RN7SL574P	chr1	3782815	3783111	p
UAP1	chr1	162561506	162599842	q
XCL2	chr1	168540765	168543997	q
RP11-315I20.1	chr1	145926590	145959106	q
RP11-206L10.5	chr1	759032	764925	p
TTC34	chr1	2635976	2801721	p
TMEM57	chr1	25430858	25500209	p
RNF220	chr1	44405194	44651724	p
KIAA1751	chr1	1921951	2003837	p
FCGR1B	chr1	121087345	121096310	p
RP11-104D3.2	chr1	199387141	199388475	q
RP11-478J18.2	chr1	213983793	213986419	q
RP11-84A14.5	chr1	9848318	9850154	p
RP5-837O21.5	chr1	93924743	93925385	p
RP11-510N19.2	chr1	202028606	202028692	q
OR6R1P	chr1	247833349	247834288	q
AL645944.1	chr1	29884902	29885005	p
EYA3	chr1	27970344	28088696	p
NECAP2	chr1	16440672	16460078	p
BATF3	chr1	212686418	212699985	q
PEX14	chr1	10472288	10630758	p
RP4-671G15.2	chr1	112517799	112518441	p
KIAA1107	chr1	92167052	92184723	p
SLC25A44	chr1	156193932	156212796	q
AL451051.1	chr1	99829465	99829537	p
EDN2	chr1	41478775	41484673	p
FGR	chr1	27612064	27635277	p
RP11-393I23.4	chr1	58060139	58080274	p
RP11-276H7.3	chr1	16159266	16161883	p
RP11-669M2.1	chr1	188508538	188536465	q
IPO8P1	chr1	210859177	210862285	q
PRAMEF8	chr1	13281035	13285174	p
CGN	chr1	151510510	151538692	q
HMGN2P19	chr1	229570532	229570796	q
RP11-322N21.2	chr1	46175486	46176478	p
RP11-690C23.2	chr1	246516039	246524287	q
RGS7	chr1	240775514	241357230	q
RP11-522M21.3	chr1	245673732	245676478	q
PHTF1	chr1	113696831	113759489	p
RP4-612B18.1	chr1	171824610	171824959	q
MIR7856	chr1	86357632	86357687	p
CHRM3-AS1	chr1	239898016	239899872	q
CSMD2	chr1	33513999	34165842	p
MTMR9LP	chr1	32231658	32241620	p
CH17-125A10.1	chr1	144276484	144305180	q
LRRC38	chr1	13474977	13514048	p
AL136456.1	chr1	194089422	194089520	q
WDR77	chr1	111439890	111449376	p
OPTC	chr1	203494143	203508864	q
KIAA1614	chr1	180913154	180951614	q
RNFT1P2	chr1	78170481	78171237	p
RP4-713B5.2	chr1	93384487	93384998	p
RP11-115M14.1	chr1	71367054	71367303	p
HMGCL	chr1	23801885	23838620	p
RP5-933B4.1	chr1	80534978	80584363	p
EI24P2	chr1	158454198	158455273	q
RNA5S14	chr1	228639337	228639455	q
TTLL7-IT1	chr1	83979118	83984300	p
AL136380.1	chr1	44913068	44913172	p
MST1P2	chr1	16645622	16650289	p
RN7SL431P	chr1	154166245	154166549	q
RNA5S3	chr1	228614750	228614868	q
SPRR2B	chr1	153070224	153070840	q
MIR197	chr1	109598893	109598967	p
AL359853.1	chr1	179710250	179710346	q
SEPW1P	chr1	31094987	31095558	p
AC253578.1	chr1	144560451	144560527	q
ROR1	chr1	63774022	64181498	p
LINC01134	chr1	3900372	3917225	p
CFHR2	chr1	196819745	196959210	q
RASAL2	chr1	178094141	178484147	q
TSTD1	chr1	161037631	161038990	q
OR10J7P	chr1	159351093	159352026	q
RN7SL503P	chr1	35292196	35292498	p
DPH2	chr1	43970000	43973369	p
AL445675.1	chr1	242897870	242897953	q
RP4-682E18.1	chr1	86029854	86030589	p
RP11-108M9.6	chr1	16904339	16904776	p
RP11-428K3.1	chr1	178724306	178726285	q
RP11-710N8.3	chr1	115577229	115577786	p
CYP4A44P	chr1	47002995	47003148	p
OXCT2P1	chr1	39514956	39516490	p
RP11-182I10.2	chr1	64941979	64942365	p
RNU6-773P	chr1	171519816	171519913	q
OR13G1	chr1	247672118	247673041	q
NBPF14	chr1	149390623	149556361	q
CYP4A22-AS1	chr1	47096653	47179271	p
OR11I1P	chr1	110853938	110854891	p
FTLP17	chr1	104153306	104153830	p
SPRR2A	chr1	153056113	153057537	q
RNU7-62P	chr1	64384398	64384459	p
PKLR	chr1	155289839	155301434	q
RNU5F-2P	chr1	179576268	179576349	q
RP11-126K1.8	chr1	151340648	151341966	q
MTND4P10	chr1	235540053	235541415	q
RP11-278H7.5	chr1	244064330	244067909	q
GAPDHP32	chr1	119533749	119534746	p
RGS16	chr1	182598623	182604408	q
RNU6-352P	chr1	101859851	101859957	p
MIR4254	chr1	31758660	31758735	p
SPATA42	chr1	108857217	108858524	p
RNU6-970P	chr1	92969604	92969710	p
RP11-190A12.8	chr1	159866954	159867685	q
FAM213B	chr1	2586491	2591469	p
IPO9-AS1	chr1	201688259	201829559	q
RP11-397C12.1	chr1	66042500	66050718	p
RP11-155O18.6	chr1	52353487	52353877	p
RP11-400N13.2	chr1	221966341	221984964	q
MAP7D1	chr1	36155579	36180849	p
RP11-46A10.6	chr1	180964511	180965909	q
RBM15	chr1	110338506	110346681	p
RP11-767N6.2	chr1	45651039	45651826	p
RNU1-2	chr1	16895980	16896143	p
KRT18P57	chr1	111648291	111649544	p
MRPS14	chr1	175010789	175023425	q
RP11-115A15.2	chr1	80495903	80496233	p
MSTO2P	chr1	155745829	155750137	q
MIR1182	chr1	231019828	231019924	q
FLG	chr1	152302175	152325203	q
RNU6-1240P	chr1	186311825	186311928	q
RP11-219C24.10	chr1	13324039	13324518	p
RP5-956O18.2	chr1	230258694	230268483	q
RP11-68I18.2	chr1	151111912	151112728	q
AL390776.1	chr1	44333105	44333178	p
NEK7	chr1	198156963	198322420	q
RN7SL788P	chr1	52150104	52150419	p
OSTCP2	chr1	26985897	26986340	p
RANP5	chr1	109046828	109047482	p
ABHD17AP1	chr1	148146395	148149566	q
CNIH4	chr1	224356850	224379459	q
STX12	chr1	27773183	27824452	p
CHCHD2P5	chr1	93921268	93921667	p
RP11-290M5.4	chr1	85578500	85578742	p
SHE	chr1	154469772	154502113	q
RP11-20O24.4	chr1	108992282	108992836	p
YTHDF2	chr1	28736621	28769775	p
KDM1A	chr1	23019448	23083689	p
RP11-284F21.8	chr1	156509854	156511681	q
AL136987.1	chr1	192491128	192491220	q
RP4-735N21.1	chr1	99464378	99464776	p
ATF6	chr1	161766294	161964070	q
CAMK1G	chr1	209583717	209613938	q
UFC1	chr1	161152776	161158856	q
RP11-231P20.5	chr1	26263041	26263398	p
RNU2-17P	chr1	150236967	150237156	q
RP11-385M4.1	chr1	209147267	209155101	q
PRDX1	chr1	45511036	45523047	p
RP11-569A11.2	chr1	202632428	202632911	q
RP11-458I7.1	chr1	150053864	150055034	q
MIR4677	chr1	243346176	243346255	q
AL157407.1	chr1	68058177	68058262	p
C4BPAP2	chr1	207225798	207229202	q
RP11-284F21.7	chr1	156646507	156661424	q
ATP6V1G3	chr1	198523222	198540945	q
RP5-1092L12.2	chr1	171083565	171085205	q
HIGD1AP11	chr1	53073110	53073389	p
RP5-891H21.1	chr1	44172506	44172719	p
LCE2D	chr1	152663396	152664659	q
RP11-316M1.12	chr1	150965245	150966256	q
GJA9	chr1	38874451	38881587	p
RP11-175B9.2	chr1	202438396	202439957	q
ADAM30	chr1	119893533	119896495	p
RP11-404F10.6	chr1	160775954	160776608	q
PPIEL	chr1	39522280	39546187	p
RP11-242O24.5	chr1	29152489	29152991	p
ELL2P1	chr1	158175850	158177755	q
SSU72	chr1	1541673	1574869	p
SLC16A1	chr1	112911847	112957013	p
KIAA0907	chr1	155913043	155934400	q
PFN1P7	chr1	144442606	144443004	q
TDRKH	chr1	151770107	151791416	q
PLXNA2	chr1	208022242	208244320	q
PHGDH	chr1	119659798	119744215	p
RP11-398M15.1	chr1	189775465	189814918	q
RP11-297K8.2	chr1	161153760	161159349	q
C1orf127	chr1	10946471	10982037	p
MCOLN3	chr1	85018082	85048499	p
RP11-78B10.2	chr1	207551925	207606555	q
ESPNP	chr1	16687339	16720157	p
RP11-98D18.16	chr1	151766486	151767000	q
AL158839.1	chr1	70363780	70366135	p
RP11-463J7.2	chr1	190624890	190801658	q
RP5-884C9.3	chr1	38080572	38080911	p
MRPS21P2	chr1	157861197	157861460	q
RP4-713A8.1	chr1	2326201	2326693	p
RP1-91G5.3	chr1	152373954	152445456	q
CERS2	chr1	150960583	150975004	q
RP11-415J8.5	chr1	33350352	33363245	p
RNA5S10	chr1	228630390	228630508	q
RP11-403I13.7	chr1	143790010	143797108	q
SCNM1	chr1	151156664	151170297	q
RP5-1059H15.1	chr1	168369054	168369601	q
RP11-422P24.9	chr1	153995632	153995960	q
RP11-490K7.4	chr1	31263245	31263681	p
RN7SL130P	chr1	63655743	63656047	p
RP4-620F22.2	chr1	89260582	89269754	p
RP5-1103B4.3	chr1	56963886	56996757	p
RP11-293A10.3	chr1	108734256	108734725	p
RP1-65J11.5	chr1	30858158	30860254	p
SPRR3	chr1	153001747	153003856	q
RP4-543J13.1	chr1	114206427	114262278	p
RCC2	chr1	17406760	17439724	p
RP11-73M7.1	chr1	31571585	31575573	p
RP11-348A7.1	chr1	40938104	40939763	p
RPS20P5	chr1	57605847	57606206	p
CH17-478G19.2	chr1	148772640	148784594	q
NSUN4	chr1	46340177	46365152	p
RP11-739N20.3	chr1	204394541	204394774	q
ADORA1	chr1	203090654	203167405	q
NBPF15	chr1	144421386	144461674	q
RP11-111I12.1	chr1	30013952	30037612	p
SLFNL1	chr1	41015597	41023237	p
IFI6	chr1	27666061	27672218	p
C1orf86	chr1	2184461	2212720	p
SNORA44	chr1	151527831	151527938	q
IPP	chr1	45694324	45750650	p
GPR3	chr1	27392644	27395814	p
RP5-926E3.1	chr1	49691262	49691523	p
RP11-353N4.6	chr1	149607765	149612402	q
ITGB3BP	chr1	63440770	63593721	p
CHIAP1	chr1	111250254	111256715	p
MRPS10P1	chr1	169990067	169990196	q
PLA2G4A	chr1	186828953	186988981	q
JTB	chr1	153974269	153977688	q
RP5-837I24.5	chr1	81596157	81596506	p
RNU5E-4P	chr1	11909808	11909927	p
RNA5SP54	chr1	111041834	111041925	p
MLLT11	chr1	151057758	151068497	q
PIP5K1A	chr1	151197949	151249536	q
RP11-243J18.2	chr1	155710098	155710563	q
RP5-884C9.2	chr1	38047314	38119025	p
RP11-376N17.4	chr1	84344678	84349939	p
CH17-262O2.1	chr1	145509047	145520594	q
RP4-622L5.7	chr1	32204769	32206814	p
KLHL17	chr1	960587	965715	p
CLSPN	chr1	35720218	35769967	p
RP11-389O22.5	chr1	113198825	113199258	p
SPRR4	chr1	152970666	152972574	q
TPR	chr1	186311652	186375693	q
UBE2WP1	chr1	96418594	96418933	p
TAS1R3	chr1	1331314	1335306	p
KIF1B	chr1	10210805	10381603	p
PRKCZ	chr1	2050470	2185395	p
RP11-36N20.1	chr1	246108626	246113866	q
GCSAML	chr1	247507058	247577690	q
RP11-102C16.3	chr1	167052551	167058542	q
RP11-301M17.2	chr1	148234273	148234489	q
DYNLL1P3	chr1	18513118	18513383	p
PLA2G2F	chr1	20139326	20150386	p
NPR1	chr1	153678637	153693992	q
ZNF436	chr1	23359448	23369442	p
RP11-478H16.1	chr1	236285976	236286960	q
RP11-122G18.7	chr1	161406068	161407082	q
CTTNBP2NL	chr1	112396181	112463456	p
OBSCN	chr1	228208130	228378876	q
TMEM52	chr1	1917590	1919273	p
TCTEX1D4	chr1	44805913	44806675	p
RP11-108M9.4	chr1	16888538	16889649	p
FOXD2	chr1	47436017	47440691	p
MIR4654	chr1	162157107	162157182	q
DIRAS3	chr1	68045962	68051631	p
AC241585.1	chr1	145132157	145132253	q
RN7SKP247	chr1	81251789	81252096	p
RP11-317P15.3	chr1	182712862	182714544	q
MIR4742	chr1	224398227	224398311	q
RNU6-965P	chr1	101728642	101728737	p
ECM1	chr1	150508062	150513789	q
AMYP1	chr1	103713723	103719871	p
CRP	chr1	159712289	159714589	q
DNM3	chr1	171841498	172418466	q
DEPDC1-AS1	chr1	68496676	68538627	p
RP1-52J10.9	chr1	152644393	152644717	q
RP11-439A17.4	chr1	121118126	121146826	p
RP11-38J22.3	chr1	206117783	206126805	q
RP11-576D8.4	chr1	205455929	205469024	q
RP11-307C12.12	chr1	154961825	154962623	q
NOC2L	chr1	944204	959309	p
AL596220.1	chr1	186394991	186396776	q
LDLRAD1	chr1	54007299	54018186	p
RP11-309H21.4	chr1	191179521	191179739	q
PROX1	chr1	213983181	214041502	q
SCYL3	chr1	169849631	169894267	q
PFN1P9	chr1	119853316	119853748	p
NPL	chr1	182789293	182830384	q
RPL4P2	chr1	166747379	166748660	q
RP11-365O16.5	chr1	224297646	224298600	q
RP11-216N14.9	chr1	153750983	153752176	q
SKINTL	chr1	48096092	48182428	p
RP11-520H14.1	chr1	228134785	228134992	q
RP5-1126H10.2	chr1	19072110	19075511	p
KCTD3	chr1	215567392	215621807	q
HNRNPU	chr1	244851166	244864542	q
GOLT1A	chr1	204198160	204214092	q
AL354978.1	chr1	66730967	66731058	p
RP11-245P10.4	chr1	228407381	228409694	q
RP11-216N14.5	chr1	153795173	153802091	q
AL356261.1	chr1	5893839	5893924	p
BEND5	chr1	48727523	48776969	p
SMIM12	chr1	34712737	34859816	p
IGKV1OR1-1	chr1	144085628	144086098	q
GPR137B	chr1	236142505	236221865	q
RGS1	chr1	192575727	192580031	q
MMP23B	chr1	1632095	1701810	p
RP11-486G15.2	chr1	84076331	84077931	p
DPT	chr1	168695459	168729264	q
RP11-216N14.8	chr1	153746851	153751227	q
RP11-364B6.2	chr1	104073010	104073537	p
RP4-594I10.3	chr1	24538802	24556024	p
VPS25P1	chr1	117549415	117549922	p
AC239800.1	chr1	143729192	143729268	q
SMAP2	chr1	40344850	40423326	p
IFI44	chr1	78649796	78664078	p
RP4-633I8.3	chr1	8798475	8799506	p
RP11-763B22.11	chr1	144661200	144679513	q
GS1-279B7.1	chr1	185321157	185335039	q
LAMC2	chr1	183186238	183244900	q
SLC35D1	chr1	66999332	67054099	p
ZYG11A	chr1	52842511	52894998	p
UBXN11	chr1	26281328	26318363	p
NPPA-AS1_2	chr1	11845549	11845697	p
MKNK1	chr1	46557408	46616843	p
HIST2H2BB	chr1	143875171	143904650	q
SYPL2	chr1	109466628	109482137	p
ARPC3P2	chr1	211442274	211442806	q
AL136985.1	chr1	58764849	58764935	p
ITPKB-AS1	chr1	226668897	226676345	q
TCTEX1D1	chr1	66752459	66778787	p
OR10K1	chr1	158465562	158466503	q
RNA5S13	chr1	228637096	228637214	q
RAP1GAP	chr1	21596215	21669363	p
RP11-16L9.2	chr1	198983321	198985400	q
RP11-567C20.2	chr1	50174306	50175868	p
RP5-1028L10.2	chr1	110177643	110178719	p
RP11-34P13.14	chr1	139790	140339	p
LEFTY1	chr1	225886282	225911382	q
TMCO2	chr1	40245947	40251691	p
SPRR1B	chr1	153031202	153032900	q
ACTBP12	chr1	92228581	92229435	p
RP5-979D14.1	chr1	23140325	23141142	p
RP4-798A10.7	chr1	16514645	16515754	p
AIM2	chr1	159062484	159147096	q
RP11-329A14.1	chr1	48435967	48437223	p
RP5-1139B12.3	chr1	228274584	228276066	q
ITGA10	chr1	145891208	145910189	q
TOMM20	chr1	235109336	235128936	q
TTF2	chr1	117060303	117107453	p
RP11-89F3.2	chr1	145286610	145287755	q
RP4-706G24.1	chr1	25208139	25208869	p
RP11-7O11.3	chr1	43944370	43946551	p
RP11-339A11.1	chr1	80092103	80093237	p
RP11-426L16.10	chr1	112702614	112711433	p
RNU5E-6P	chr1	44819883	44819997	p
RP4-592A1.4	chr1	58552913	58553333	p
RP11-357J22.1	chr1	176305672	176306095	q
ZNF697	chr1	119619422	119647773	p
RN7SL277P	chr1	19424384	19424671	p
RP3-329E20.2	chr1	21266082	21267251	p
RNU6-536P	chr1	42569033	42569139	p
HCRTR1	chr1	31617686	31632518	p
ZNF859P	chr1	49841821	49846400	p
RP11-40H20.5	chr1	27176751	27177277	p
SPRR2F	chr1	153112114	153113515	q
RP4-549L20.3	chr1	100894928	100895356	p
RP4-764D2.1	chr1	236110061	236112370	q
C1orf123	chr1	53214099	53220617	p
LCE3D	chr1	152579381	152580504	q
ABHD17AP3	chr1	214605470	214608840	q
RP4-771M4.3	chr1	62896009	62901639	p
FMN2	chr1	240014348	240475189	q
RP11-107M16.2	chr1	152205858	152207057	q
MIR6728	chr1	8866502	8866590	p
RP11-7G12.1	chr1	166022215	166023027	q
LINC01356	chr1	112820170	112850643	p
SYNC	chr1	32680360	32703596	p
RP5-1033H22.2	chr1	93592199	93605573	p
RSBN1	chr1	113761832	113812476	p
RP1-140A9.1	chr1	1891471	1892658	p
NBPF9	chr1	149054027	149103561	q
RP11-504P24.8	chr1	223951388	223953439	q
OR10J2P	chr1	159279041	159280001	q
GJA8	chr1	147907956	147909257	q
RUNX3	chr1	24899511	24965121	p
KNCN	chr1	46545644	46551527	p
RP11-495P10.1	chr1	148415197	148429361	q
RP11-86H7.7	chr1	94621151	94624184	p
RP11-77M5.1	chr1	163259850	163260659	q
ERO1LB	chr1	236215555	236281985	q
SYCP1	chr1	114854803	114995370	p
PDE4DIP	chr1	148808181	149048286	q
RP11-488L18.1	chr1	247229940	247231880	q
MAP3K6	chr1	27355184	27366892	p
KLHL21	chr1	6590724	6614607	p
RP11-109P14.9	chr1	37799720	37800879	p
MIR5585	chr1	32086949	32087007	p
RP11-431K24.1	chr1	8026738	8122702	p
GUCA2B	chr1	42153421	42155824	p
CH17-408M7.1	chr1	146514471	146525289	q
MIR5581	chr1	37500935	37500994	p
COX6CP13	chr1	65298755	65298980	p
RP11-495P10.4	chr1	148317683	148318013	q
HTR6	chr1	19665287	19679562	p
RP11-4M23.2	chr1	23901471	23902737	p
AL591704.7	chr1	153396591	153396771	q
RPS21P1	chr1	235432985	235433231	q
ELAVL4	chr1	50048014	50203786	p
RP11-542C10.1	chr1	5086459	5090899	p
AL355149.1	chr1	16548914	16548987	p
RP11-293P20.2	chr1	24040835	24086799	p
SPRR2E	chr1	153093135	153106184	q
RP11-492M19.3	chr1	26640377	26640614	p
SLC4A1APP2	chr1	187706561	187708898	q
RP11-475E11.9	chr1	108837660	108963484	p
RP11-306I1.2	chr1	165598463	165623331	q
RN7SL538P	chr1	69879592	69879895	p
CDC20	chr1	43358955	43363203	p
RNPEP	chr1	201982372	202006147	q
AL136136.1	chr1	198035061	198035128	q
HIST2H3D	chr1	149813271	149813681	q
PRAMEF6	chr1	12938472	13056491	p
HAO2-IT1	chr1	119368946	119370331	p
TRIM67	chr1	231162112	231221556	q
RP11-82O2.2	chr1	101882516	101882894	p
FAM151A	chr1	54609182	54623556	p
DNAJC6	chr1	65248219	65415869	p
PPT1	chr1	40072705	40097703	p
GUK1	chr1	228139962	228148984	q
AL450992.2	chr1	151841877	151850385	q
DNTTIP2	chr1	93866283	93879918	p
NCSTN	chr1	160343272	160358952	q
OR3D1P	chr1	247666887	247667841	q
S100A5	chr1	153537147	153541765	q
PFN1P8	chr1	146957117	146957659	q
FCER1G	chr1	161215234	161220699	q
FAM41C	chr1	868071	876903	p
RN7SL612P	chr1	156985755	156986049	q
LINC01358	chr1	59020387	59044614	p
LCE1A	chr1	152827473	152827894	q
RN7SL657P	chr1	1405460	1405752	p
PLEKHO1	chr1	150149183	150164720	q
GJC2	chr1	228149852	228159826	q
RP11-90C4.3	chr1	55945087	55950119	p
RP11-476B1.1	chr1	196044996	196061073	q
RP5-882O7.1	chr1	44843921	44844082	p
AC244021.1	chr1	121412448	121412548	p
ADAR	chr1	154582062	154627999	q
RNU6-817P	chr1	116413766	116413869	p
RP4-791M13.5	chr1	149006309	149009527	q
IL12RB2	chr1	67307364	67396900	p
RP4-730K3.3	chr1	113698884	113699631	p
FO538757.3	chr1	182393	184158	p
PRRX1	chr1	170662728	170739419	q
GAPDHP74	chr1	119434456	119435080	p
RP11-498M14.2	chr1	242890247	242890803	q
AMPD1	chr1	114673098	114695618	p
TRNP1	chr1	26993707	27000898	p
SERPINC1	chr1	173903804	173917378	q
RP11-570P14.1	chr1	44122153	44122512	p
LINC00115	chr1	826206	827522	p
RP11-561I11.4	chr1	242147514	242209129	q
NBPF6	chr1	108375799	108471002	p
HORMAD1	chr1	150698060	150720888	q
DDX11L1	chr1	11869	14409	p
FAM204BP	chr1	197746751	197747451	q
LINC00970	chr1	168903905	169087005	q
RP4-753F5.1	chr1	116909149	116909531	p
MIR3115	chr1	23044305	23044372	p
SLC25A33	chr1	9539482	9585179	p
MIR6732	chr1	37480230	37480289	p
RNU1-13P	chr1	148388490	148388651	q
ACTA1	chr1	229431245	229434098	q
MIR6731	chr1	24919345	24919416	p
SV2A	chr1	149903318	149917882	q
RP11-174G17	chr1	18166929	18179346	p
MIR3117	chr1	66628415	66628525	p
PFKFB2	chr1	207034366	207081024	q
NBPF18P	chr1	151994531	152042774	q
C1orf233	chr1	1598011	1600096	p
RPEP3	chr1	27739954	27740629	p
GAPDHP51	chr1	51707138	51708137	p
MIR6735	chr1	43448539	43448611	p
RNA5SP70	chr1	181771566	181771644	q
MIR4632	chr1	12191713	12191773	p
EXO1	chr1	241847967	241895148	q
LAMTOR5	chr1	110401249	110407942	p
HES4	chr1	998962	1000172	p
AL513523.2	chr1	153772371	153774079	q
RP11-345I18.6	chr1	179271116	179271266	q
RP5-1180E21.5	chr1	111184415	111185061	p
FAM73A	chr1	77779624	77879539	p
RNU6-239P	chr1	154295503	154295601	q
PTGER3	chr1	70852353	71047808	p
RP5-994D16.3	chr1	42678735	42681659	p
RP5-837O21.2	chr1	93934479	93935244	p
ERVMER61-1	chr1	187641226	187643860	q
TOR3A	chr1	179081377	179098023	q
RP1-117O3.2	chr1	32987075	33032469	p
B4GALT3	chr1	161171310	161177968	q
RP11-477H21.2	chr1	164680085	164680799	q
MPL	chr1	43337807	43352772	p
TROVE2	chr1	193059422	193091777	q
RP11-568K15.1	chr1	178006136	178037950	q
SRRM1	chr1	24631716	24673267	p
PGCP1	chr1	111382860	111391819	p
OVGP1	chr1	111414314	111427777	p
RP11-656D10.6	chr1	40515754	40517174	p
RP11-38J22.1	chr1	206175060	206177246	q
MRPL37	chr1	54184041	54225464	p
PIK3R3	chr1	46040140	46133036	p
RP5-884G6.2	chr1	99968383	99969864	p
RP5-925F19.1	chr1	187714243	187714735	q
RNVU1-2	chr1	148385829	148385963	q
TPM3	chr1	154155304	154194648	q
RP5-994D16.9	chr1	42775813	42776790	p
RP11-97C18.1	chr1	103926567	103927806	p
SLC25A38P1	chr1	172748560	172749502	q
MIR6859-2	chr1	17369	17436	p
RP11-439E19.10	chr1	246772301	246775772	q
TRIM62	chr1	33145402	33182059	p
IL23R	chr1	67166400	67259979	p
RNA5SP62	chr1	163468496	163468605	q
HHIPL2	chr1	222522258	222548103	q
FO538757.2	chr1	184923	200322	p
ZC3H11A	chr1	203795654	203854124	q
GS1-115G20.1	chr1	184408337	184412360	q
KCND3-IT1	chr1	111853762	111856905	p
PTPRU	chr1	29236516	29326813	p
HNRNPA1P54	chr1	179447602	179457315	q
HDAC1P2	chr1	220625740	220628056	q
SEMA4A	chr1	156147366	156177752	q
GS1-115G20.2	chr1	184566511	184567835	q
NHLH1	chr1	160367067	160372848	q
TP53BP2	chr1	223779899	223845972	q
CSF1	chr1	109910242	109930992	p
TNFRSF4	chr1	1211326	1214138	p
HIST2H2BD	chr1	149843041	149843533	q
CH17-13I23.2	chr1	143449571	143450245	q
CTPS1	chr1	40979335	41012565	p
RNU6-1208P	chr1	24777873	24777979	p
ST13P20	chr1	81721693	81723068	p
RNA5SP43	chr1	37264677	37264786	p
RNU4ATAC8P	chr1	73883714	73883822	p
NPPB	chr1	11857464	11858931	p
